"feature","interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"OTU_1","1","1.09","17.1892291826041","20.3268455914076","0.845641745311936","-0.24188149741469","-0.154358254688064","0.154358254688064","-1","1","0","0"
"OTU_1","1.09","1.18","17.1604235715749","20.3282989012549","0.844164268487585","-0.244404330228977","-0.155835731512415","0.155835731512415","-1","1","0","0"
"OTU_1","1.18","1.27","17.1322090385314","20.3297523629239","0.842716071139951","-0.246881456312997","-0.157283928860049","0.157283928860049","-1","1","0","0"
"OTU_1","1.27","1.36","17.1049442303391","20.3312060083768","0.841314785915385","-0.24928239534861","-0.158685214084615","0.158685214084615","-1","1","0","0"
"OTU_1","1.36","1.45","17.0789856203169","20.3326598695853","0.839977933524797","-0.251576666534657","-0.160022066475203","0.160022066475203","-1","1","0","0"
"OTU_1","1.45","1.54","17.0546877447823","20.3341139785301","0.838722934414039","-0.253733788586961","-0.161277065585961","0.161277065585961","-1","1","0","0"
"OTU_1","1.54","1.63","17.0324035135969","20.3355683672009","0.837567124067619","-0.25572327973833","-0.162432875932381","0.162432875932381","-1","1","0","0"
"OTU_1","1.63","1.72","17.0124845941982","20.3370230675968","0.836527771918811","-0.257514657738553","-0.163472228081189","0.163472228081189","-1","1","0","0"
"OTU_1","1.72","1.81","16.995281868812","20.3384781117259","0.835622103849235","-0.2590774398544","-0.164377896150765","0.164377896150765","-1","1","0","0"
"OTU_1","1.81","1.9","16.9811459647839","20.3399335316055","0.834867328273096","-0.260381142869626","-0.165132671726904","0.165132671726904","-1","1","0","0"
"OTU_1","1.9","1.99","16.9704278582579","20.3413893592621","0.834280665815515","-0.261395283084966","-0.165719334184485","0.165719334184485","-1","1","0","0"
"OTU_1","1.99","2.08","16.9635454846999","20.3428456245937","0.833882623785516","-0.262083768771257","-0.166117376214484","0.166117376214484","-1","1","0","0"
"OTU_1","2.08","2.17","16.9613534284579","20.3443023434061","0.833715167134025","-0.262373513555997","-0.166284832865975","0.166284832865975","-1","1","0","0"
"OTU_1","2.17","2.26","16.9652068297505","20.3457595153878","0.833844851892575","-0.262149119163855","-0.166155148107425","0.166155148107425","-1","1","0","0"
"OTU_1","2.26","2.35","16.9765963052866","20.3472171360641","0.834344873392869","-0.261284255234433","-0.165655126607131","0.165655126607131","-1","1","0","0"
"OTU_1","2.35","2.44","16.9970255442491","20.3486752009545","0.835289048372632","-0.259652572158905","-0.164710951627368","0.164710951627368","-1","1","0","0"
"OTU_1","2.44","2.53","17.0280184849015","20.3501337055776","0.836752167394087","-0.257127712035431","-0.163247832605913","0.163247832605913","-1","1","0","0"
"OTU_1","2.53","2.62","17.0711280101424","20.3515926454504","0.838810421746458","-0.253583308669204","-0.161189578253542","0.161189578253542","-1","1","0","0"
"OTU_1","2.62","2.71","17.127946097917","20.3530520160888","0.841541901645886","-0.24889298757252","-0.158458098354114","0.158458098354114","-1","1","0.2","0.227272727272727"
"OTU_1","2.71","2.8","17.2001155150193","20.3545118130074","0.845027170046286","-0.24293036596489","-0.154972829953715","0.154972829953715","-1","1","0.2","0.227272727272727"
"OTU_1","2.8","2.89","17.2893431708391","20.3559720317194","0.849349917748869","-0.235569052773188","-0.150650082251131","0.150650082251131","-1","1","0.2","0.227272727272727"
"OTU_1","2.89","2.98","17.3974152803666","20.3574326677368","0.854597707103735","-0.226682648631862","-0.145402292896265","0.145402292896265","-1","1","0.2","0.227272727272727"
