"interval.start","interval.end","avg.mod0.count","avg.mod1.count","foldChange","log2FoldChange","areaRatio","areaRatio.abs","areaRatio.sign","dominant","intervals.pvalue","adjusted.pvalue"
"1","1.09","20.857387445699","17.4048824185497","1.19836416840539","0.261066392363343","0.165529121810565","0.165529121810565","1","A","0.2","0.232558139534884"
"1.09","1.18","21.2678667260099","17.4811030626232","1.21662040718032","0.282879108805484","0.178050940048236","0.178050940048236","1","A","0.2","0.232558139534884"
"1.18","1.27","21.6739569565581","17.5575482166526","1.23445236710221","0.303871169351314","0.189924190961352","0.189924190961352","1","A","0.2","0.232558139534884"
"1.27","1.36","22.0666722015851","17.6341447907565","1.25136049768356","0.323497467599998","0.200869771859399","0.200869771859399","1","A","0.2","0.232558139534884"
"1.36","1.45","22.4364424071552","17.7108184177022","1.26682132231279","0.341213055187962","0.210622696044983","0.210622696044983","1","A","0","0"
"1.45","1.54","22.7731895759324","17.7874934482067","1.2802922256721","0.356473141795756","0.21892831968495","0.21892831968495","1","A","0","0"
"1.54","1.63","23.0664463585577","17.8640929494282","1.2912184471866","0.36873309515531","0.225537706513664","0.225537706513664","1","A","0","0"
"1.63","1.72","23.3055191788713","17.9405387067406","1.29904232865176","0.37744844105604","0.230202143576129","0.230202143576129","1","A","0","0"
"1.72","1.81","23.4796963654974","18.0167512288858","1.3032147731414","0.382074863347642","0.232666770965542","0.232666770965542","1","A","0","0"
"1.81","1.9","23.5784996106071","18.0926497565966","1.30320875757905","0.382068203937249","0.232663228984368","0.232663228984368","1","A","0","0"
"1.9","1.99","23.5919744619019","18.1681522747832","1.29853460633126","0.376884462778124","0.229901155406789","0.229901155406789","1","A","0","0"
"1.99","2.08","23.5131493170312","18.2431732722907","1.28887386893074","0.366111086374747","0.224128889485822","0.224128889485822","1","A","0","0"
"2.08","2.17","23.3501448084008","18.3176110493162","1.2747374505079","0.35020013504109","0.215524734445073","0.215524734445073","1","A","0","0"
"2.17","2.26","23.1276981269395","18.3913453342231","1.2575316110183","0.330594666023761","0.204791361713575","0.204791361713575","1","A","0","0"
"2.26","2.35","22.8743439553526","18.4642497173604","1.23884502785107","0.308995726191785","0.192796534256896","0.192796534256896","1","A","0","0"
"2.35","2.44","22.6176857858539","18.5361960547737","1.22019025473293","0.28710611349297","0.180455673923675","0.180455673923675","1","A","0","0"
"2.44","2.53","22.3841853881319","18.6070545323193","1.20299456043684","0.266630119115376","0.1687410459804","0.1687410459804","1","A","0","0"
"2.53","2.62","22.1992757607376","18.6766937342694","1.18860843769177","0.249273527498906","0.158680042738078","0.158680042738078","1","A","0","0"
"2.62","2.71","22.0877728763829","18.7449807209542","1.17832998631425","0.236743616377434","0.151341295210571","0.151341295210571","1","A","0","0"
"2.71","2.8","22.0745741689764","18.8117811155885","1.17344413234131","0.230749156805448","0.147807746070746","0.147807746070746","1","A","0","0"
"2.8","2.89","22.1856496532109","18.8769592004109","1.17527666493701","0.233000413087262","0.149136514121467","0.149136514121467","1","A","0","0"
"2.89","2.98","22.4493592428485","18.9403780222485","1.18526458217878","0.245209142490668","0.156306520049911","0.156306520049911","1","A","0","0"
"2.98","3.07","22.8948920198632","19.0019040861769","1.20487357035542","0.268881769699488","0.170037400932436","0.170037400932436","1","A","0","0"
"3.07","3.16","23.5272036398506","19.061444009825","1.23428233599321","0.303672441608042","0.189812597297431","0.189812597297431","1","A","0","0"
"3.16","3.25","24.3148187205131","19.1189580052684","1.27176484794898","0.346831937870536","0.213691114664213","0.213691114664213","1","A","0","0"
"3.25","3.34","25.2105489329463","19.1744242320223","1.31480083197718","0.394844274436986","0.239428531166798","0.239428531166798","1","A","0","0"
"3.34","3.43","26.1605065997234","19.2278215841164","1.36055488580848","0.444195157165711","0.265005763140699","0.265005763140699","1","A","0","0"
"3.43","3.52","27.1023248211935","19.279129596743","1.40578570651717","0.491376691346818","0.288654027876344","0.288654027876344","1","A","0","0"
"3.52","3.61","27.9646497016708","19.3283284590439","1.44682194122099","0.532887381908296","0.30882994547616","0.30882994547616","1","A","0","0"
"3.61","3.7","28.6683357727804","19.3753990265764","1.47962556711515","0.565232134765916","0.324153338368086","0.324153338368086","1","A","0","0"
"3.7","3.79","29.1296717031444","19.4203228334476","1.49995815996295","0.584922258550596","0.333314737242602","0.333314737242602","1","A","0","0"
"3.79","3.88","29.2657987279537","19.4630821041059","1.50365695275877","0.588475465283784","0.334954692847134","0.334954692847134","1","A","0","0"
"3.88","3.97","29.0021676328471","19.5036597647805","1.48701156514322","0.572415867908079","0.327510274001343","0.327510274001343","1","A","0","0"
"3.97","4.06","28.2858203140129","19.5420400162697","1.44743436665075","0.533497931251292","0.309122387142209","0.309122387142209","1","A","0","0"
"4.06","4.15","27.1421961253746","19.5782148902826","1.38634682873188","0.471288228251903","0.278679779637307","0.278679779637307","1","A","0","0"
"4.15","4.24","25.6936183992625","19.612187972769","1.31008424123496","0.38965958314011","0.236690306985648","0.236690306985648","1","A","0.2","0.232558139534884"
"4.24","4.33","24.0883758515381","19.6439680043712","1.22624796813851","0.294250745937746","0.184504255270623","0.184504255270623","1","A","0.2","0.232558139534884"
"4.33","4.42","22.4545034023894","19.6735646683969","1.14135408508148","0.190746431892874","0.123847705921502","0.123847705921502","1","A","0.4","0.421052631578947"
"4.42","4.51","20.8944005496869","19.7009885040214","1.0605762520709","0.0848483497980474","0.057116357218651","0.057116357218651","1","A","0.6","0.618556701030928"
"4.51","4.6","19.4853788271074","19.7262508891629","0.987789262977088","-0.0177248078210312","-0.0122107370229116","0.0122107370229116","-1","B","1","1"
"4.6","4.69","18.2838366116497","19.749364022976","0.925793690894485","-0.111237363912617","-0.0742063091055151","0.0742063091055151","-1","B","0.4","0.421052631578947"
"4.69","4.78","17.3315550294091","19.7703409079853","0.876644217217761","-0.189936645830919","-0.123355782782239","0.123355782782239","-1","B","0.4","0.421052631578947"
"4.78","4.87","16.6631364673896","19.7891953318861","0.842032037580652","-0.248052968983552","-0.157967962419348","0.157967962419348","-1","B","0.4","0.421052631578947"
"4.87","4.96","16.3142615170261","19.8059418490336","0.823705413323841","-0.279799624863776","-0.176294586676159","0.176294586676159","-1","B","0.4","0.421052631578947"
"4.96","5.05","16.3294103856647","19.8205950421035","0.823860754481756","-0.279527575190491","-0.176139245518244","0.176139245518244","-1","B","0.4","0.421052631578947"
"5.05","5.14","16.7408426331639","19.8331565766199","0.844083621711465","-0.244542163902262","-0.155916378288535","0.155916378288535","-1","B","0.4","0.421052631578947"
"5.14","5.23","17.5474837907926","19.8436046908182","0.884289123080139","-0.177409951246605","-0.115710876919861","0.115710876919861","-1","B","0.4","0.421052631578947"
"5.23","5.32","18.739848097459","19.8519067059923","0.94398227711812","-0.0831683210564097","-0.0560177228818805","0.0560177228818805","-1","B","0.8","0.816326530612245"
"5.32","5.41","20.3186271300547","19.8580302155458","1.02319449157391","0.0330804025217937","0.022668702543767","0.022668702543767","1","A","1","1"
"5.41","5.5","22.2877956451436","19.8619434869712","1.12213568927752","0.166247137989225","0.108842175188419","0.108842175188419","1","A","0.6","0.618556701030928"
"5.5","5.59","24.6465253088505","19.8636154957963","1.24078747467028","0.311256028041865","0.194060207397133","0.194060207397133","1","A","0.4","0.421052631578947"
"5.59","5.68","27.3801265067459","19.8630159596152","1.37844759136348","0.463044417063497","0.274546231379854","0.274546231379854","1","A","0","0"
"5.68","5.77","30.4498862004823","19.8601153721634","1.53321799143029","0.616562832545986","0.347777024800543","0.347777024800543","1","A","0","0"
"5.77","5.86","33.782333451968","19.8548850373973","1.70146205270581","0.766774975585243","0.412270171756277","0.412270171756277","1","A","0","0"
"5.86","5.95","37.2592922629665","19.847297103536","1.87729805567976","0.908657722792015","0.467319535662169","0.467319535662169","1","A","0","0"
"5.95","6.04","40.7124440551981","19.8373247280956","2.05231524982484","1.03725235590901","0.51274542247574","0.51274542247574","1","A","0","0"
"6.04","6.13","43.9700061340904","19.8249460837963","2.21791302474355","1.14920279145479","0.549125692106151","0.549125692106151","1","A","0","0"
